district_name,taluka_name,village_name,crop_name,crop_category,cultivated_area,production,production_unit,irrigated_area,year,season
Hingoli,Kalamnuri,Kalamnuri,Soyabean,Oilseeds,710.0,1562.0,Tons,240.0,2023,Kharif
Nanded,Mukhed,Mukhed,Soyabean,Oilseeds,780.0,1716.0,Tons,290.0,2023,Kharif
Nanded,Degloor,Degloor,Cotton,Commercial,690.0,1035.0,Tons,210.0,2023,Kharif
Latur,Ausa,Killari,Soyabean,Oilseeds,920.0,2024.0,Tons,310.0,2023,Kharif
Beed,Parli,Parli Vaijnath,Cotton,Commercial,880.0,1320.0,Tons,260.0,2023,Kharif
Dharashiv,Tuljapur,Naldurg,Soyabean,Oilseeds,650.0,1430.0,Tons,210.0,2023,Kharif
Nagpur,Hingna,Hingna,Orange,Fruits,720.0,6480.0,Tons,680.0,2023,Annual
Nagpur,Hingna,Hingna,Cotton,Commercial,340.0,510.0,Tons,120.0,2023,Kharif
Wardha,Hinganghat,Hinganghat,Cotton,Commercial,1150.0,1725.0,Tons,380.0,2023,Kharif
Buldhana,Khamgaon,Shegaon,Cotton,Commercial,940.0,1410.0,Tons,290.0,2023,Kharif
Akola,Murtizapur,Murtizapur,Cotton,Commercial,860.0,1290.0,Tons,270.0,2023,Kharif
Washim,Karanja,Karanja Lad,Soyabean,Oilseeds,790.0,1738.0,Tons,240.0,2023,Kharif
Amravati,Achalpur,Paratwada,Cotton,Commercial,910.0,1365.0,Tons,320.0,2023,Kharif
Amravati,Morshi,Warud,Orange,Fruits,1120.0,10080.0,Tons,1050.0,2023,Annual
Yavatmal,Pusad,Pusad,Cotton,Commercial,1280.0,1920.0,Tons,390.0,2023,Kharif
Chandrapur,Warora,Warora,Paddy / Rice,Cereals,850.0,2550.0,Tons,620.0,2023,Kharif
Bhandara,Sakoli,Sakoli,Paddy / Rice,Cereals,1420.0,4260.0,Tons,1180.0,2023,Kharif
Gondia,Tiroda,Tiroda,Paddy / Rice,Cereals,1680.0,5040.0,Tons,1420.0,2023,Kharif
Gadchiroli,Armori,Armori,Paddy / Rice,Cereals,1120.0,3360.0,Tons,890.0,2023,Kharif
Ratnagiri,Chiplun,Khed,Alphonso Mango,Fruits,820.0,4920.0,Tons,210.0,2023,Annual
Ratnagiri,Lanja,Lanja,Cashew Nut,Plantation,650.0,1950.0,Tons,150.0,2023,Annual
Sindhudurg,Kudal,Kudal,Alphonso Mango,Fruits,950.0,5700.0,Tons,280.0,2023,Annual
Sindhudurg,Kankavli,Kankavli,Cashew Nut,Plantation,780.0,2340.0,Tons,190.0,2023,Annual
Raigad,Mahad,Birwadi,Rice,Cereals,420.0,1260.0,Tons,290.0,2023,Kharif
Raigad,Pen,Wadkhal,Rice,Cereals,510.0,1530.0,Tons,340.0,2023,Kharif
Palghar,Dahanu,Vangaon,Chickoo (Sapota),Fruits,580.0,6960.0,Tons,490.0,2023,Annual
Thane,Bhiwandi,Padgha,Rice,Cereals,390.0,1170.0,Tons,280.0,2023,Kharif
Mumbai Suburban,Kurla,Taloja Periurban,Vegetables,Vegetables,180.0,1440.0,Tons,150.0,2023,Kharif
